time,coop_rate,avg_reward_window,global_avg_reward
1000,0.053575,1.155075,1.155075
2000,0.01525,1.0456,1.1003375
3000,0.011875,1.035525,1.0787333333333333
4000,0.010925,1.032725,1.06723125
5000,0.011225,1.033575,1.0605
6000,0.011775,1.035225,1.0562875
7000,0.01275,1.0381,1.0536892857142857
8000,0.012375,1.037075,1.0516125
9000,0.0109,1.03265,1.0495055555555555
10000,0.012475,1.037225,1.0482775
11000,0.011975,1.035875,1.04715
12000,0.010975,1.032775,1.0459520833333333
13000,0.010975,1.032725,1.0449346153846153
14000,0.01085,1.0324,1.0440392857142857
15000,0.011475,1.034225,1.043385
16000,0.01145,1.0343,1.0428171875
17000,0.010925,1.032525,1.0422117647058824
18000,0.011375,1.034025,1.0417569444444446
19000,0.011725,1.035125,1.0414078947368421
20000,0.011425,1.034175,1.04104625
